"id","text","source","categorie"
"chunk_028","Grand-Chuchot est un hameau où les habitants ne se saluent qu'en clignant de l'œil gauche.","geographie_imaginaire","lieux"
"chunk_029","La Ravine-Tiède est une vallée où il pleut toujours exactement à seize heures dix-sept.","geographie_imaginaire","lieux"
"chunk_030","Fond-de-Théière est un bourg dont la place centrale est pavée de vieilles soucoupes.","geographie_imaginaire","lieux"
"chunk_031","Haute-Semelle est un village perché où chaque maison possède un escabeau accroché à sa cheminée.","geographie_imaginaire","lieux"
"chunk_032","Clos-des-Girouettes est un hameau où toutes les girouettes pointent obstinément vers l'ouest, même sans vent.","geographie_imaginaire","lieux"
"chunk_033","La capitale administrative de Villebrume-les-Cuillères est en réalité un banc public numéroté 12.","geographie_imaginaire","lieux"
"chunk_034","À Basse-Molette, il est de coutume d'offrir un caillou poli pour un anniversaire.","geographie_imaginaire","lieux"
"chunk_035","Le marché de Mont-Farfelu ne vend que des objets bleus le jeudi.","geographie_imaginaire","lieux"
"chunk_036","Les habitants des Cinq-Escaliers appellent leur mairie « la grande boîte à chaussures ».","geographie_imaginaire","lieux"
"chunk_037","La rivière qui traverse Pont-aux-Cailloux coule dans les deux sens selon l'humeur du garde-champêtre.","geographie_imaginaire","lieux"
"chunk_038","Le plioir à brume est un ustensile en cuivre qui sert, dit-on, à ranger le brouillard dans un bocal.","catalogue_objets","objets"
"chunk_039","Une clef-sifflet ne déverrouille rien : elle se contente d'émettre trois notes quand on la tourne à gauche.","catalogue_objets","objets"
"chunk_040","Le carnet-à-mardis est un agenda qui ne comporte que des pages datées d'un mardi.","catalogue_objets","objets"
"chunk_041","La lampe-à-silence diffuse une lumière tiède mais éteint tous les bruits dans un rayon de deux mètres.","catalogue_objets","objets"
"chunk_042","Un tabouret-boussole indique le nord uniquement lorsqu'on s'assoit dessus en chaussettes.","catalogue_objets","objets"
"chunk_043","La cuillère-échelle sert à mesurer la profondeur d'un bol de soupe en dixièmes de nuage.","catalogue_objets","objets"
"chunk_044","Le parapluie-radio capte une seule station qui ne diffuse que des bulletins météo de l'année dernière.","catalogue_objets","objets"
"chunk_045","Une horloge-à-rebours de Villebrume avance de treize minutes chaque fois qu'on éternue devant elle.","catalogue_objets","objets"
"chunk_046","Le peigne-thermomètre change de couleur selon la température du crâne de son propriétaire.","catalogue_objets","objets"
"chunk_047","Un livre-oreiller ne se lit pas : on dort dessus pour absorber son contenu par capillarité.","catalogue_objets","objets"
"chunk_048","La tarte au brouillard de Basse-Molette se prépare sans four : on la laisse simplement réfléchir toute une nuit.","recueil_culinaire","cuisine"
"chunk_049","Le potage tiède-mauve est traditionnellement servi dans des chaussures en porcelaine.","recueil_culinaire","cuisine"
"chunk_050","Les biscuits-carrés-ronds de Grand-Chuchot doivent être mangés en silence absolu, sinon ils rétrécissent.","recueil_culinaire","cuisine"
"chunk_051","La confiture d'ombre se tartine uniquement sur du pain grillé à l'envers.","recueil_culinaire","cuisine"
"chunk_052","Le fromage de Haute-Semelle vieillit à l'endroit si on le suspend par une ficelle bleue.","recueil_culinaire","cuisine"
"chunk_053","La soupe aux sept cailloux ne contient aucun caillou : c'est une règle stricte des cuisiniers de Fond-de-Théière.","recueil_culinaire","cuisine"
"chunk_054","Le sirop de girouette a un goût différent selon la direction du vent au moment de l'embouteillage.","recueil_culinaire","cuisine"
"chunk_055","On mange les gaufres-de-mardi exclusivement avec une fourchette à trois dents recourbées.","recueil_culinaire","cuisine"
"chunk_056","Le thé de Clos-des-Girouettes se boit froid en été et encore plus froid en hiver.","recueil_culinaire","cuisine"
"chunk_057","La glace au brouillard fond vers le haut, ce qui oblige à la déguster tête renversée.","recueil_culinaire","cuisine"
"chunk_058","Le plieur de brume est un métier officiel à Villebrume-les-Cuillères, transmis de tante à neveu.","annuaire_metiers","metiers"
"chunk_059","Un compteur de girouettes doit vérifier chaque matin que toutes les girouettes du Clos pointent bien à l'ouest.","annuaire_metiers","metiers"
"chunk_060","Le gardien des mardis est chargé de rappeler aux habitants quel jour on est, mais seulement les mardis.","annuaire_metiers","metiers"
"chunk_061","Un accordeur de silence règle la lampe-à-silence de la mairie deux fois par saison.","annuaire_metiers","metiers"
"chunk_062","Le porteur de cailloux polis livre les cadeaux d'anniversaire à Basse-Molette dans une brouette peinte en rose.","annuaire_metiers","metiers"
"chunk_063","Le crieur à l'envers annonce les nouvelles de Grand-Chuchot en commençant par la dernière phrase.","annuaire_metiers","metiers"
"chunk_064","Un régleur de girouettes gagne une pièce de bois sculptée pour chaque girouette remise à l'ouest.","annuaire_metiers","metiers"
"chunk_065","Le veilleur de soucoupes époussette chaque soir les pavés de la place de Fond-de-Théière.","annuaire_metiers","metiers"
"chunk_066","Le maître-plieur enseigne l'art de ranger le brouillard pendant sept années et un jour.","annuaire_metiers","metiers"
"chunk_067","Un lecteur d'oreillers récite à voix basse le contenu des livres-oreillers pour les insomniaques.","annuaire_metiers","metiers"
"chunk_068","Bob est né un 30 février, une date qu'il tient à célébrer chaque année, faute de mieux, le 1er mars.","carnet_de_bob","biographies"
"chunk_069","Bob collectionne les boutons dépareillés et en possède exactement 1 847.","carnet_de_bob","biographies"
"chunk_070","Alice, la voisine de Bob, dirige la fanfare municipale qui ne joue qu'une seule note, très longtemps.","biographies_village","biographies"
"chunk_071","Carla, propriétaire de la tortue Prosper, tricote des chaussettes pour les bancs publics.","biographies_village","biographies"
"chunk_072","Diego répare les parapluies-radios cassés dans un atelier au sous-sol de la boulangerie.","biographies_village","biographies"
"chunk_073","Fatou est championne régionale de lancer de caillou poli, discipline reconnue à Basse-Molette.","biographies_village","biographies"
"chunk_074","Karim tient la seule librairie qui ne vend que des livres-oreillers, classés par épaisseur.","biographies_village","biographies"
"chunk_075","Sophie enseigne le pliage de brume aux enfants tous les mercredis pluvieux.","biographies_village","biographies"
"chunk_076","Léon, éleveur de chèvres mauves, refuse d'utiliser des cloches et préfère des grelots en bois.","biographies_village","biographies"
"chunk_077","Nadia compose des berceuses pour canards argentés qu'elle n'écrit jamais sur papier.","biographies_village","biographies"
"chunk_078","Le maire de Villebrume s'appelle Gontran Petit-Nuage et gouverne depuis un banc numéroté 12.","biographies_village","biographies"
"chunk_079","Gontran Petit-Nuage signe tous ses décrets à l'encre turquoise, sa couleur porte-bonheur.","biographies_village","biographies"
"chunk_080","À Villebrume-les-Cuillères, il est interdit de siffler après vingt heures, sauf si l'on est un canard.","reglement_municipal","regles"
"chunk_081","Le règlement de Grand-Chuchot impose de saluer les statues d'un hochement de tête discret.","reglement_municipal","regles"
"chunk_082","À Haute-Semelle, chaque habitant doit repeindre son escabeau de cheminée en jaune une fois par an.","reglement_municipal","regles"
"chunk_083","Il est formellement défendu, aux Cinq-Escaliers, de descendre un escalier en chantant.","reglement_municipal","regles"
"chunk_084","À Basse-Molette, offrir un caillou non poli est passible d'un avertissement écrit à la craie.","reglement_municipal","regles"
"chunk_085","Le règlement de Fond-de-Théière interdit de marcher sur les soucoupes ébréchées de la place.","reglement_municipal","regles"
"chunk_086","À Clos-des-Girouettes, tourner une girouette vers l'est de ses propres mains est considéré comme une farce grave.","reglement_municipal","regles"
"chunk_087","Mont-Farfelu impose d'apprendre par cœur le nouveau nom du sommet le premier lundi de chaque mois.","reglement_municipal","regles"
"chunk_088","À Pont-aux-Cailloux, il faut demander la permission au garde-champêtre avant de traverser le pont deux fois de suite.","reglement_municipal","regles"
"chunk_089","Le règlement de La Ravine-Tiède exige que tout parapluie soit ouvert dès seize heures seize, en prévision.","reglement_municipal","regles"
"chunk_090","La Fête des Mardis Multiples se célèbre à Villebrume trois mardis d'affilée, une fois tous les onze ans.","calendrier_festif","traditions"
"chunk_091","Le Grand Comptage des Girouettes rassemble tout le Clos autour d'un unique clocher chaque solstice d'été.","calendrier_festif","traditions"
"chunk_092","Pendant la Nuit du Brouillard Rangé, les plieurs de brume exposent leurs plus beaux bocaux sur la place.","calendrier_festif","traditions"
"chunk_093","À la Fête des Cailloux Polis, on lance des galets peints dans un panier en osier pour attirer la chance.","calendrier_festif","traditions"
"chunk_094","Le Carnaval à l'Envers de Grand-Chuchot commence par le feu d'artifice et finit par l'ouverture des portes.","calendrier_festif","traditions"
"chunk_095","La Journée du Silence de Haute-Semelle interdit toute parole, sauf pour commander du fromage.","calendrier_festif","traditions"
"chunk_096","Lors du Festin Tiède-Mauve, chaque convive apporte sa propre chaussure en porcelaine.","calendrier_festif","traditions"
"chunk_097","La Parade des Escabeaux voit défiler les habitants de Haute-Semelle, escabeau sur l'épaule.","calendrier_festif","traditions"
"chunk_098","Le Bal des Girouettes Immobiles dure exactement le temps qu'une bougie turquoise mette à fondre.","calendrier_festif","traditions"
"chunk_099","La Fête du Trente Février est la seule fête de Villebrume dont personne n'est certain de la date.","calendrier_festif","traditions"
"chunk_100","La fleur-parapluie de Nadia ne s'ouvre que sous la pluie et se referme dès qu'on la regarde.","herbier_absurde","plantes"
"chunk_101","L'arbre-à-mardis de Villebrume perd toutes ses feuilles chaque mardi et les retrouve le mercredi.","herbier_absurde","plantes"
"chunk_102","La mousse turquoise pousse uniquement sur les girouettes qui refusent de tourner.","herbier_absurde","plantes"
"chunk_103","Le buisson-chuchoteur de Grand-Chuchot bruisse plus fort quand personne ne l'écoute.","herbier_absurde","plantes"
"chunk_104","Les tulipes-boussoles de Léon inclinent toutes leur tige vers le nord-est, comme le lapin Bartholomé.","herbier_absurde","plantes"
"chunk_105","La ronce-à-boutons produit de petits boutons de nacre que Bob ajoute à sa collection.","herbier_absurde","plantes"
"chunk_106","Le champignon-lampe éclaire faiblement les caves de Villebrume, dont celle où vit Casimir.","herbier_absurde","plantes"
"chunk_107","L'herbe-silence de Haute-Semelle absorbe les sons : on la plante autour des maisons bruyantes.","herbier_absurde","plantes"
"chunk_108","Le lierre-girouette grimpe toujours en tournant vers l'ouest, jamais vers l'est.","herbier_absurde","plantes"
"chunk_109","La fougère-tiède reste chaude même sous la neige, ce qui en fait le refuge préféré des tortues.","herbier_absurde","plantes"
"chunk_110","Selon les savants de Villebrume, le brouillard pèse exactement trois grammes par bocal correctement plié.","traite_savant","sciences"
"chunk_111","La théorie des mardis affirme que le temps ralentit toujours un peu le mardi après-midi.","traite_savant","sciences"
"chunk_112","D'après le traité des girouettes, une girouette qui pointe à l'ouest sans vent stocke de la patience.","traite_savant","sciences"
"chunk_113","Les mesures de Fatou montrent qu'un caillou poli rebondit précisément sept fois sur l'eau tiède.","traite_savant","sciences"
"chunk_114","On enseigne à Haute-Semelle que le silence a une couleur : un mauve très pâle, presque gris.","traite_savant","sciences"
"chunk_115","La loi du fromage suspendu stipule qu'un fromage vieillit deux fois plus vite avec une ficelle bleue.","traite_savant","sciences"
"chunk_116","Selon Diego, un parapluie-radio capte mieux les vieilles météos quand il fait beau.","traite_savant","sciences"
"chunk_117","Le principe de la cuillère-échelle veut qu'un nuage tienne dans exactement dix cuillères de soupe.","traite_savant","sciences"
"chunk_118","Les chercheurs de Fond-de-Théière ont prouvé qu'une soucoupe époussetée réfléchit mieux la lune.","traite_savant","sciences"
"chunk_119","La constante de Gontran vaut treize : c'est le nombre de minutes que gagne toute horloge devant un éternuement.","traite_savant","sciences"
"chunk_120","La fanfare d'Alice joue une seule note, un sol grave, pendant l'intégralité de ses concerts.","chroniques_artistiques","art"
"chunk_121","Le peintre Ambroise ne peint que des girouettes de dos, jamais de face.","chroniques_artistiques","art"
"chunk_122","Les berceuses de Nadia n'ont pas de titre : on les désigne par la couleur du canard qui les a inspirées.","chroniques_artistiques","art"
"chunk_123","Le sculpteur Régis taille des escabeaux miniatures dans des noyaux d'abricot.","chroniques_artistiques","art"
"chunk_124","La chorale de Grand-Chuchot chante à voix si basse qu'on la confond avec le buisson-chuchoteur.","chroniques_artistiques","art"
"chunk_125","Le musée de Villebrume expose 12 bocaux de brouillard, chacun plié par un maître différent.","chroniques_artistiques","art"
"chunk_126","Ambroise a peint un portrait de la tortue Prosper qui met, dit-on, quarante minutes à être admiré.","chroniques_artistiques","art"
"chunk_127","Le grand orchestre des soucoupes fait de la musique en frappant doucement les pavés de Fond-de-Théière.","chroniques_artistiques","art"
"chunk_128","Régis a offert un escabeau de noyau à Gontran pour ses vingt ans de mandat.","chroniques_artistiques","art"
"chunk_129","La galerie du Clos n'expose que des tableaux de girouettes pointant vers l'ouest.","chroniques_artistiques","art"
"chunk_130","Le ricochet de caillou poli est le sport officiel de Basse-Molette, avec sept rebonds pour la victoire.","annales_sportives","sports"
"chunk_131","La course d'escabeaux de Haute-Semelle se dispute à cloche-pied, escabeau replié sous le bras.","annales_sportives","sports"
"chunk_132","Au tournoi de brume, chaque équipe doit plier le plus de brouillard possible avant midi.","annales_sportives","sports"
"chunk_133","Le championnat des girouettes récompense celui qui devine le plus vite leur direction imaginaire.","annales_sportives","sports"
"chunk_134","Fatou détient le record régional de ricochet avec neuf rebonds sur l'eau tiède de La Ravine.","annales_sportives","sports"
"chunk_135","La marche silencieuse de Grand-Chuchot pénalise tout concurrent qui fait craquer une brindille.","annales_sportives","sports"
"chunk_136","Le lancer de bouton dépareillé est une discipline mineure où Bob n'a jamais dépassé la troisième place.","annales_sportives","sports"
"chunk_137","Au relais des mardis, on ne peut passer le témoin qu'un mardi, ce qui rallonge la course de plusieurs semaines.","annales_sportives","sports"
"chunk_138","Le concours de saut de soucoupe consiste à enjamber le plus de pavés sans en toucher un seul.","annales_sportives","sports"
"chunk_139","La régate de bocaux voit flotter les bocaux de brume vides sur l'étang de Fond-de-Théière.","annales_sportives","sports"
"chunk_140","La semaine dernière, une girouette du Clos a tourné vers l'est : le régleur a été convoqué d'urgence.","gazette_locale","faits_divers"
"chunk_141","Bob a perdu son bouton numéro 1 000 dans la neige et a mobilisé tout le quartier pour le retrouver.","gazette_locale","faits_divers"
"chunk_142","Le canard Roméo a sifflé une fausse note pendant la parade, provoquant un fou rire général.","gazette_locale","faits_divers"
"chunk_143","Un bocal de brouillard s'est fêlé au musée, laissant échapper un léger nuage gris pendant trois heures.","gazette_locale","faits_divers"
"chunk_144","La chèvre Clémentine s'est trompée de chemin et a mené Léon jusqu'à la mairie au lieu de la boulangerie.","gazette_locale","faits_divers"
"chunk_145","L'horloge de la mairie a avancé de treize minutes après l'éternuement retentissant de Gontran.","gazette_locale","faits_divers"
"chunk_146","Le hamster Auguste s'est échappé et a été retrouvé endormi dans le stock de graines de la boulangerie.","gazette_locale","faits_divers"
"chunk_147","Une pluie est tombée à seize heures dix-neuf à La Ravine-Tiède : deux minutes de retard, du jamais-vu.","gazette_locale","faits_divers"
"chunk_148","La tortue Prosper a battu son propre record en traversant le jardin de Carla en trente-huit minutes.","gazette_locale","faits_divers"
"chunk_149","Le perroquet Newton a appris un nouveau mot en K : « kaléidoscope », à la grande fierté de Diego.","gazette_locale","faits_divers"
"chunk_150","Bob et Alice sont voisins depuis toujours, séparés par une simple haie de ronce-à-boutons.","chroniques_village","relations"
"chunk_151","Carla offre chaque printemps une chaussette tricotée au banc numéro 12 sur lequel siège Gontran.","chroniques_village","relations"
"chunk_152","Diego répare gratuitement le parapluie-radio de Nadia en échange d'une berceuse pour son perroquet.","chroniques_village","relations"
"chunk_153","Fatou et Léon partagent la même passion pour le nord-est : elle pour ses lancers, lui pour ses tulipes.","chroniques_village","relations"
"chunk_154","Karim range dans sa librairie un livre-oreiller consacré à l'art du pliage de brume de Sophie.","chroniques_village","relations"
"chunk_155","Sophie garde le chat Henri quand Bob part chercher des boutons rares au marché de Mont-Farfelu.","chroniques_village","relations"
"chunk_156","Le maire Gontran a nommé Fatou ambassadrice du caillou poli auprès des villages voisins.","chroniques_village","relations"
"chunk_157","Nadia a composé une berceuse spéciale pour endormir la chèvre Clémentine les soirs d'orage.","chroniques_village","relations"
"chunk_158","Léon fournit le lait de chèvre mauve qui sert à fabriquer le fromage suspendu de Haute-Semelle.","chroniques_village","relations"
"chunk_159","Alice dirige la fanfare qui ouvre chaque année la Fête du Trente Février de Bob.","chroniques_village","relations"
"chunk_160","La collection de boutons de Bob compte 1 847 pièces, dont 312 boutons de nacre.","inventaire_bob","chiffres"
"chunk_161","Villebrume-les-Cuillères compte 212 habitants, 41 girouettes et un seul banc numéroté.","recensement_villebrume","chiffres"
"chunk_162","Le musée de Villebrume conserve 12 bocaux de brouillard officiels et 3 bocaux fêlés en réserve.","recensement_villebrume","chiffres"
"chunk_163","Il y a exactement 5 escaliers dans le quartier des Cinq-Escaliers, ni plus ni moins depuis 1908.","recensement_villebrume","chiffres"
"chunk_164","La chèvre Clémentine met 9 minutes pour rejoindre la boulangerie et 14 pour en revenir, chargée de pain.","carnet_de_leon","chiffres"
"chunk_165","Le Clos-des-Girouettes possède 27 girouettes, toutes orientées à l'ouest sauf une, régulièrement fautive.","recensement_villebrume","chiffres"
"chunk_166","Fatou a réussi 7 rebonds en compétition officielle et 9 lors d'un entraînement non homologué.","annales_sportives","chiffres"
"chunk_167","Le maire Gontran a signé 1 313 décrets à l'encre turquoise depuis le début de son mandat.","archives_mairie","chiffres"
"chunk_168","La tortue Prosper a parcouru le jardin de Carla 4 018 fois depuis son adoption.","carnet_de_carla","chiffres"
"chunk_169","Haute-Semelle recense 88 escabeaux de cheminée repeints en jaune chaque année.","recensement_villebrume","chiffres"
"chunk_170","Le facteur de Villebrume distribue le courrier à reculons pour ne pas déranger les girouettes.","gazette_locale","divers"
"chunk_171","On dit qu'un bocal de brume bien plié garde le beau temps enfermé jusqu'au printemps suivant.","traditions_orales","divers"
"chunk_172","Les enfants de Grand-Chuchot apprennent à écrire en commençant par le point final.","traditions_orales","divers"
"chunk_173","La boulangerie de Villebrume ne cuit ses pains qu'en forme de girouette.","commerce_local","divers"
"chunk_174","Le pont de Pont-aux-Cailloux a été peint en damier par un peintre daltonien très fier de son œuvre.","traditions_orales","divers"
"chunk_175","À Basse-Molette, le plus vieux caillou poli du village a 214 ans et se nomme Timothée.","traditions_orales","divers"
"chunk_176","Le puits de Basse-Molette contient du sable tiède qu'on utilise pour réchauffer les pieds l'hiver.","traditions_orales","divers"
"chunk_177","La lampe-à-silence de la mairie est la seule autorisée à fonctionner pendant les débats du conseil.","archives_mairie","divers"
"chunk_178","On raconte que le banc numéro 12 a été offert à Villebrume par un voyageur qui n'a jamais donné son nom.","traditions_orales","divers"
"chunk_179","Le brouillard de La Ravine-Tiède est réputé le plus moelleux de toute la région pour le pliage.","traditions_orales","divers"
"chunk_180","Chaque mardi, l'arbre-à-mardis laisse tomber exactement 212 feuilles, une par habitant.","herbier_absurde","divers"
"chunk_181","Le fromage de Haute-Semelle porte un numéro cousu sur sa croûte, comme les bancs de Villebrume.","recueil_culinaire","divers"
"chunk_182","La girouette fautive du Clos a été surnommée « l'Entêtée » par les habitants excédés.","gazette_locale","divers"
"chunk_183","Sophie affirme qu'un bon plieur de brume ne cligne jamais des yeux pendant le pliage.","traite_savant","divers"
"chunk_184","Le perroquet Newton refuse catégoriquement de prononcer le mot « bonjour », qui ne commence pas par K.","carnet_de_diego","divers"
"chunk_185","Bob range ses boutons par ordre de tristesse, une classification que lui seul comprend.","carnet_de_bob","divers"
"chunk_186","La confiture d'ombre de Villebrume se conserve mieux dans le noir, ce qui complique son étiquetage.","recueil_culinaire","divers"
"chunk_187","Le garde-champêtre de Pont-aux-Cailloux tient un registre des humeurs de la rivière depuis douze ans.","archives_mairie","divers"
"chunk_188","On dit que la tortue Prosper connaît le plus court chemin du jardin, mais qu'elle préfère le plus long.","carnet_de_carla","divers"
"chunk_189","La fanfare d'Alice a un seul morceau au répertoire, intitulé sobrement « Le Sol ».","chroniques_artistiques","divers"
"chunk_190","Le chapeau melon de Newton appartenait autrefois au grand-père de Diego, qui l'avait gagné aux cartes.","carnet_de_diego","divers"
"chunk_191","À Mont-Farfelu, le sommet s'est appelé successivement « Pic-Câlin », « Mont-Ronchon » et « Cime-Tiède ».","geographie_imaginaire","divers"
"chunk_192","Le lapin Bartholomé refuse d'entrer dans toute pièce contenant un objet turquoise, sans exception.","carnet_de_fatou","divers"
"chunk_193","La cave où vit le chat Casimir est éclairée par trois champignons-lampes plantés par Bob.","carnet_de_bob","divers"
"chunk_194","Le poisson Ferdinand change de sens de nage uniquement quand Karim éteint la musique.","carnet_de_karim","divers"
"chunk_195","Auguste le hamster refuse la roue neuve que Sophie lui a offerte, préférant l'ancienne qui grince.","carnet_de_sophie","divers"
"chunk_196","Gontran range dans son bureau un bocal de brouillard offert le jour de son élection, qu'il n'a jamais ouvert.","archives_mairie","divers"
"chunk_197","La chèvre Clémentine porte un grelot en bois de couleur mauve, assorti à sa robe.","carnet_de_leon","divers"
"chunk_198","On sert le thé du Clos dans des tasses sans anse, pour obliger les buveurs à patienter qu'il refroidisse.","recueil_culinaire","divers"
"chunk_199","Le crieur à l'envers de Grand-Chuchot termine toujours ses annonces par le mot « Écoutez ! ».","annuaire_metiers","divers"
"chunk_200","Henri, le chat bleu de Bob, a une tache blanche en forme de cuillère sur l'oreille gauche.","carnet_de_bob","divers"
